plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources	salinity
Initial_000000002	59000000.0	12.0	11.0	0.03259697874196308	3.4879527896308513	0.987655031488164	0.6104502424607284	0.00031597298738644385	0.07614441052506787	0.07448878554475087	0.0
Initial_000000001	60000000.0	10.0	11.0	0.119690865457619	6.142254337885967	2.5425613674726653	1.5727796917625967	0.0016558296147035259	0.5069687557301251	0.4855078433725339	0.0
Initial_000000002	60000000.0	12.0	11.0	0.032734395018663535	3.4949297314671637	0.9906766803627621	0.6123152418830111	0.00031779834086315475	0.07661264255083947	0.07494045461148768	0.0
Initial_000000001	61000000.0	10.0	11.0	0.11981555546791538	6.144969943791576	2.5444665645782525	1.5739629453434085	0.0016576718656951478	0.5077299345669576	0.4862311108215203	0.0
Initial_000000002	61000000.0	12.0	11.0	0.03287190252613606	3.501888258603884	0.9936972225638775	0.6141795645018722	0.00031962755796284244	0.07708213973347211	0.07539331103741059	0.0
Initial_000000001	62000000.0	10.0	11.0	0.11994019406002313	6.14768291464546	2.5463703661497643	1.5751453428929636	0.0016595124228386238	0.5084911260436329	0.48695438628161364	0.0
Initial_000000002	62000000.0	12.0	11.0	0.033009500353583666	3.508828480120839	0.9967166444885405	0.6160432020832494	0.00032146061823542355	0.07755289836968998	0.07584735124321725	0.0
Initial_000000001	63000000.0	10.0	11.0	0.1200647812308873	6.150393255080193	2.548272773656284	1.576326885299585	0.0016613512848109996	0.509252329494241	0.4876776691324546	0.0
Initial_000000002	63000000.0	12.0	11.0	0.03314718759508579	3.5157505040562005	0.9997349326847813	0.6179061464844335	0.0003232975012479496	0.07802491475452362	0.07630257164916117	0.0
Initial_000000001	64000000.0	10.0	11.0	0.12018931697758446	6.153100969715024	2.550173788565102	1.5775075734505308	0.0016631884502991431	0.5100135442548319	0.4884009587555097	0.0
Initial_000000002	64000000.0	12.0	11.0	0.03328496334958926	3.522654437420275	1.0027520738503695	0.6197683896533045	0.00032513818658537317	0.07849818518149596	0.07675896867521825	0.0
Initial_000000001	65000000.0	10.0	11.0	0.12031380129732194	6.155806063155934	2.552073412341717	1.5786874082319933	0.001665023917999708	0.5107747696634106	0.48912425453406533	0.0
Initial_000000002	65000000.0	12.0	11.0	0.033422826720898934	3.529540386209053	1.0057680548315606	0.6216299236275706	0.0003269826538513037	0.07897270594280559	0.0772165387412512	0.0
Initial_000000001	66000000.0	10.0	11.0	0.12043823418743715	6.158508539995683	2.5539716464498334	1.5798663905290986	0.0016668576866191009	0.5115360050599301	0.48984755585322287	0.0
Initial_000000002	66000000.0	12.0	11.0	0.03356077681766781	3.536408455417532	1.0087828626218498	0.6234907405340133	0.00032883088266874946	0.07944847332950769	0.07767527826717119	0.0
Initial_000000001	67000000.0	10.0	11.0	0.12056261564539683	6.161208404813868	2.555868492351363	1.5810445212259074	0.0016686897548734425	0.5122972497862864	0.49057086209989215	0.0
Initial_000000002	67000000.0	12.0	11.0	0.03369881275338685	3.5432587490528102	1.011796484360731	0.625350832587735	0.0003306828526808474	0.07992548363169212	0.078135183673097	0.0
Initial_000000001	68000000.0	10.0	11.0	0.12068694566879637	6.1639056621769726	2.557763951506423	1.5822218012054134	0.0016705201214885347	0.5130585031863112	0.49129417266278663	0.0
Initial_000000002	68000000.0	12.0	11.0	0.03383693364637433	3.550091370146964	1.0148089073324655	0.6272101920914117	0.00033253854355158255	0.08040373313865884	0.07859625137951223	0.0
Initial_000000001	69000000.0	10.0	11.0	0.12081122425535905	6.166600316638422	2.5596580253733365	1.5833982313495436	0.0016723487851998228	0.513819764605767	0.4920174869324171	0.0
