plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources
Initial_000000002	3704000000.0	12.0	11.0	0.11832148652823155	9.688721066042962	4.6093112851695555	1.246359138676469	6.57977001712205e-05	0.24535665283106198	0.29766102110417897
Initial_000000001	3705000000.0	10.0	11.0	0.3337611028339871	9.64541336875821	5.2585241071282125	3.269939811437805	0.0018579032740911245	2.171522094261584	2.0643542327896687
Initial_000000002	3705000000.0	12.0	11.0	0.11832149299542975	9.688857544157381	4.60960460942175	1.246359179605581	6.588245121585831e-05	0.24538784472395703	0.2976550457704847
Initial_000000001	3706000000.0	10.0	11.0	0.3337904828848484	9.645804669204725	5.258847037630356	3.270142785951518	0.0018573459002841812	2.1717889535861277	2.064607235838097
Initial_000000002	3706000000.0	12.0	11.0	0.11832149950246021	9.688994199455918	4.609898298226749	1.2463592207383574	6.596731413661207e-05	0.24541907737102656	0.29764906329517465
Initial_000000001	3707000000.0	10.0	11.0	0.3338198500712615	9.646195783315472	5.259169817295328	3.270345665929673	0.001856788567997705	2.172055704643228	2.0648601362355237
Initial_000000002	3707000000.0	12.0	11.0	0.11832150604960609	9.689131032175688	4.610192352022224	1.2463592620759918	6.605228908196392e-05	0.24545035082623895	0.2976430736708692
Initial_000000001	3708000000.0	10.0	11.0	0.33384920439898597	9.646586711188943	5.259492446199892	3.2705484514201366	0.001856231277373071	2.172322347473373	2.0651129340203416
Initial_000000002	3708000000.0	12.0	11.0	0.11832151263715279	9.689268042554126	4.610486771246227	1.2463593036196856	6.613737620054386e-05	0.24548166514362377	0.2976370768901897
Initial_000000001	3709000000.0	10.0	11.0	0.33387854587377863	9.64697745292357	5.259814924420764	3.270751142470747	0.0018556740285514872	2.172588882117037	2.065365629230935
Initial_000000002	3709000000.0	12.0	11.0	0.11832151926538802	9.68940523082899	4.610781556337186	1.2463593453706485	6.622257564113042e-05	0.24551302037727202	0.2976310729457584
Initial_000000001	3710000000.0	10.0	11.0	0.3339078745013937	9.647368008617725	5.2601372520346175	3.2709537391293138	0.0018551168216739715	2.1728553086146833	2.065618221905677
Initial_000000002	3710000000.0	12.0	11.0	0.11832152593460174	9.689542597238361	4.611076707733908	1.246359387330098	6.630788755265141e-05	0.24554441658133636	0.29762506183019904
Initial_000000001	3711000000.0	10.0	11.0	0.3339371902875827	9.647758378369716	5.260459429118079	3.2711562414436193	0.001854559656881364	2.173121627006765	2.065870712082931
Initial_000000002	3711000000.0	12.0	11.0	0.11832153264508624	9.689680142020642	4.611372225875572	1.2463594294992595	6.639331208418269e-05	0.24557585381003036	0.2976190435361363
Initial_000000001	3712000000.0	10.0	11.0	0.33396649323809435	9.648148562277788	5.260781455747729	3.2713586494614173	0.001854002534314321	2.1733878373337236	2.066123099801049
Initial_000000002	3712000000.0	12.0	11.0	0.11832153939713613	9.689817865414556	4.611668111201733	1.2463594718793671	6.647884938494803e-05	0.24560733211762914	0.29761301805619633
Initial_000000001	3713000000.0	10.0	11.0	0.3339957833586749	9.648538560440127	5.261103332000105	3.2715609632304337	0.0018534454541133134	2.1736539396359893	2.0663753850983713
Initial_000000002	3713000000.0	12.0	11.0	0.11832154619104837	9.689955767659152	4.611964364152318	1.2463595144716628	6.656449960431654e-05	0.2456388515584687	0.29760698538300706
Initial_000000001	3714000000.0	10.0	11.0	0.33402506065506776	9.648928372954853	5.261425057951698	3.271763182798366	0.0018528884164186275	2.17391993395398	2.066627568013229
Initial_000000002	3714000000.0	12.0	11.0	0.11832155302712229	9.6900938489938	4.612260985167626	1.246359557277397	6.665026289180646e-05	0.24567041218694624	0.29760094550919736
Initial_000000001	3715000000.0	10.0	11.0	0.33405432513301364	9.649317999920028	5.2617466336789525	3.271965308212885	0.0018523314213703753	2.1741858203281046	2.0668796485839405
Initial_000000002	3715000000.0	12.0	11.0	0.11832155990565961	9.690232109658199	4.612557974688326	1.2463596002978279	6.673613939708051e-05	0.24570201405751999	0.2975948984273983
Initial_000000001	3716000000.0	10.0	11.0	0.3340835767982506	9.64970744143365	5.2620680592582705	3.2721673395216317	0.001851774469108479	2.174451598798759	2.0671316268488167
Initial_000000002	3716000000.0	12.0	11.0	0.11832156682696447	9.690370549892368	4.6128553331554585	1.2463596435342228	6.682212926994809e-05	0.2457336572247091	0.2975888441302422
Initial_000000001	3717000000.0	10.0	11.0	0.33411281565651413	9.650096697593655	5.262389334766007	3.2723692767722206	0.0018512175597726855	2.174717269406329	2.067383502846155
Initial_000000002	3717000000.0	12.0	11.0	0.11832157379134343	9.690509169936648	4.61315306101043	1.246359686987857	6.690823266036273e-05	0.24576534174309356	0.29758278261036347
Initial_000000001	3718000000.0	10.0	11.0	0.33414204171353684	9.65048576849792	5.262710460278471	3.2725711200122376	0.0018506606935025562	2.1749828321911866	2.0676352766142436
Initial_000000002	3718000000.0	12.0	11.0	0.11832158079910551	9.690647970031712	4.613451158695015	1.2463597306600147	6.699444971842354e-05	0.24579706766731418	0.2975767138603983
Initial_000000001	3719000000.0	10.0	11.0	0.3341712549750488	9.650874654244255	5.263031435871929	3.2727728692892413	0.001850103870437475	2.1752482871936953	2.0678869481913593
Initial_000000002	3719000000.0	12.0	11.0	0.1183215878505622	9.690786950418552	4.613749626651352	1.2463597745519883	6.708078059437392e-05	0.24582883505207243	0.29757063787298493
Initial_000000001	3720000000.0	10.0	11.0	0.33420045544677734	9.651263354930414	5.2633522616226	3.2729745246507616	0.0018495470907166412	2.175513634454207	2.0681385176157683
Initial_000000002	3720000000.0	12.0	11.0	0.11832159494602748	9.690926111338488	4.614048465321946	1.246359818665079	6.716722543859943e-05	0.24586064395213023	0.2975645546407636
Initial_000000001	3721000000.0	10.0	11.0	0.3342296431344472	9.651651870654087	5.263672937606661	3.273176086144301	0.0018489903544790722	2.1757788740130604	2.0683899849257266
Initial_000000002	3721000000.0	12.0	11.0	0.11832160208581788	9.691065453033165	4.614347675149664	1.2463598630005968	6.725378440163088e-05	0.24589249442231034	0.29755846415637693
Initial_000000001	3722000000.0	10.0	11.0	0.3342588180437803	9.6520402015129	5.263993463900242	3.273377553817334	0.001848433661863607	2.176044005910586	2.068641350159479
Initial_000000002	3722000000.0	12.0	11.0	0.11832160927025243	9.691204975744554	4.614647256577735	1.2463599075598601	6.7340457634139e-05	0.24592438651749568	0.29755236641246946
Initial_000000001	3723000000.0	10.0	11.0	0.33428798018049605	9.652428347604422	5.264313840579427	3.273578927717308	0.0018478770130089031	2.1763090301871	2.06889261335526
Initial_000000002	3723000000.0	12.0	11.0	0.11832161649965274	9.691344679714954	4.614947210049749	1.2463599523441966	6.742724528693987e-05	0.24595632029262973	0.2975462614016885
Initial_000000001	3724000000.0	10.0	11.0	0.334317129550311	9.652816309026159	5.264634067720257	3.2737802078916416	0.0018473204080534365	2.1765739468829093	2.0691437745512924
Initial_000000002	3724000000.0	12.0	11.0	0.11832162377434302	9.691484565186988	4.615247536009655	1.2463599973549426	6.751414751098809e-05	0.24598829580271614	0.2975401491166834
Initial_000000001	3725000000.0	10.0	11.0	0.33434626615893925	9.653204085875553	5.264954145398727	3.273981394387726	0.001846763847135497	2.1768387560383085	2.0693948337857884
Initial_000000002	3725000000.0	12.0	11.0	0.11832163109465008	9.691624632403608	4.61554823490176	1.2463600425934436	6.760116445738062e-05	0.2460203131028188	0.29753402955010655
Initial_000000001	3726000000.0	10.0	11.0	0.33437539001209204	9.653591678249986	5.265274073690788	3.274182487252925	0.0018462073303932122	2.1771034576935815	2.069645791096952
Initial_000000002	3726000000.0	12.0	11.0	0.11832163846090335	9.691764881608094	4.615849307170726	1.246360088061054	6.768829627735448e-05	0.24605237224806153	0.2975279026946127
Initial_000000001	3727000000.0	10.0	11.0	0.3344045011154781	9.653979086246782	5.265593852672346	3.2743834865345733	0.0018456508579645175	2.1773680518890006	2.069896646522974
Initial_000000002	3727000000.0	12.0	11.0	0.11832164587343491	9.691905313044051	4.616150753261572	1.246360133759137	6.777554312228591e-05	0.24608447329362831	0.29752176854285944
Initial_000000001	3728000000.0	10.0	11.0	0.33443359947480333	9.6543663099632	5.265913482419261	3.27458439227998	0.0018450944299871542	2.1776325386648256	2.0701474001020337
Initial_000000002	3728000000.0	12.0	11.0	0.11832165333257955	9.692045926955414	4.61645257361967	1.2463601796890655	6.786290514369176e-05	0.24611661629476292	0.2975156270875073
Initial_000000001	3729000000.0	10.0	11.0	0.3344626850957711	9.654753349496438	5.26623296300735	3.274785204536425	0.0018445380465987092	2.177896918061309	2.070398051872302
Initial_000000002	3729000000.0	12.0	11.0	0.11832166083867472	9.692186723586445	4.616754768690743	1.2463602258522213	6.795038249322561e-05	0.24614880130676883	0.29750947832121954
Initial_000000001	3730000000.0	10.0	11.0	0.33449175798408204	9.655140204943635	5.266552294512384	3.2749859233511613	0.0018439817079365778	2.1781611901186864	2.0706486018719388
Initial_000000002	3730000000.0	12.0	11.0	0.11832166839206062	9.692327703181737	4.617057338920867	1.2463602722499956	6.80379753226797e-05	0.24618102838500935	0.29750332223666276
Initial_000000001	3731000000.0	10.0	11.0	0.33452081814543416	9.655526876401867	5.26687147701009	3.275186548771414	0.0018434254141379818	2.1784253548771875	2.0708990501390927
Initial_000000002	3731000000.0	12.0	11.0	0.1183216759930802	9.69246886598621	4.617360284756466	1.2463603188837888	6.81256837839844e-05	0.24621329758490737	0.2974971588265067
Initial_000000001	3732000000.0	10.0	11.0	0.3345498655855228	9.655913363968148	5.2671905105761505	3.2753870808443795	0.0018428691653399434	2.1786894123770266	2.0711493967118995
Initial_000000002	3732000000.0	12.0	11.0	0.11832168364207916	9.692610212245114	4.617663606644311	1.246360365755011	6.821350802920539e-05	0.24624560896194508	0.29749098808342417
Initial_000000001	3733000000.0	10.0	11.0	0.3345789003100406	9.656299667739434	5.267509395286203	3.275587519617228	0.0018423129616793326	2.178953362658409	2.0713996416284886
Initial_000000002	3733000000.0	12.0	11.0	0.11832169133940604	9.692751742204026	4.617967305031521	1.2463604128650818	6.830144821054544e-05	0.24627796257166423	0.29748481000009164
Initial_000000001	3734000000.0	10.0	11.0	0.3346079223246776	9.656685787812618	5.267828131215841	3.275787865137102	0.001841756803292826	2.1792172057615287	2.071649784926975
Initial_000000002	3734000000.0	12.0	11.0	0.11832169908541215	9.692893456108855	4.6182713803655595	1.2463604602154301	6.838950448034248e-05	0.2463103584696657	0.297478624569189
Initial_000000001	3735000000.0	10.0	11.0	0.33463693163512115	9.657071724284533	5.268146718440611	3.2759881174511163	0.0018412006903169237	2.179480941726567	2.0718998266454647
